,pair,period,signal,date
SPX,daily,Strong Buy,2022-07-29 12:58:00-07:00
SPX,weekly,Strong Buy,2022-07-29 12:58:00-07:00
DJA,daily,Strong Buy,2022-07-29 12:58:00-07:00
DJA,weekly,Neutral,2022-07-29 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-01 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-01 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-01 12:58:00-07:00
DJA,weekly,Buy,2022-08-01 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-02 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-02 12:58:00-07:00
DJA,daily,Buy,2022-08-02 12:58:00-07:00
DJA,weekly,Buy,2022-08-02 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-03 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-03 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-03 12:58:00-07:00
DJA,weekly,Buy,2022-08-03 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-04 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-04 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-04 12:58:00-07:00
DJA,weekly,Buy,2022-08-04 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-05 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-05 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-05 12:58:00-07:00
DJA,weekly,Buy,2022-08-05 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-08 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-08 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-08 12:58:00-07:00
DJA,weekly,Buy,2022-08-08 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-10 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-10 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-10 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-10 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-11 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-11 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-11 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-11 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-15 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-15 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-15 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-15 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-16 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-16 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-16 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-16 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-17 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-17 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-17 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-17 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-18 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-18 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-18 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-18 12:58:00-07:00
SPX,daily,Strong Buy,2022-08-19 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-19 12:58:00-07:00
DJA,daily,Strong Buy,2022-08-19 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-19 12:58:00-07:00
SPX,daily,Strong Sell,2022-08-23 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-23 12:58:00-07:00
DJA,daily,Sell,2022-08-23 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-23 12:58:00-07:00
SPX,daily,Strong Sell,2022-08-24 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-24 12:58:00-07:00
DJA,daily,Sell,2022-08-24 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-24 12:58:00-07:00
SPX,daily,Neutral,2022-08-25 12:58:00-07:00
SPX,weekly,Strong Buy,2022-08-25 12:58:00-07:00
DJA,daily,Buy,2022-08-25 12:58:00-07:00
DJA,weekly,Strong Buy,2022-08-25 12:58:00-07:00
SPX,daily,Strong Sell,2022-08-29 12:58:00-07:00
SPX,weekly,Neutral,2022-08-29 12:58:00-07:00
DJA,daily,Strong Sell,2022-08-29 12:58:00-07:00
DJA,weekly,Strong Sell,2022-08-29 12:58:00-07:00
SPX,daily,Strong Sell,2022-08-30 12:58:00-07:00
SPX,weekly,Strong Sell,2022-08-30 12:58:00-07:00
DJA,daily,Strong Sell,2022-08-30 12:58:00-07:00
DJA,weekly,Strong Sell,2022-08-30 12:58:00-07:00
SPX,daily,Strong Sell,2022-08-31 12:58:00-07:00
SPX,weekly,Strong Sell,2022-08-31 12:58:00-07:00
DJA,daily,Strong Sell,2022-08-31 12:58:00-07:00
DJA,weekly,Strong Sell,2022-08-31 12:58:00-07:00
SPX,daily,Strong Sell,2022-09-02 12:58:00-07:00
SPX,weekly,Strong Sell,2022-09-02 12:58:00-07:00
DJA,daily,Strong Sell,2022-09-02 12:58:00-07:00
DJA,weekly,Strong Sell,2022-09-02 12:58:00-07:00
SPX,daily,Strong Sell,2022-09-02 14:00:00-07:00
SPX,weekly,Strong Sell,2022-09-02 14:00:00-07:00
DJA,daily,Strong Sell,2022-09-02 14:00:00-07:00
DJA,weekly,Strong Sell,2022-09-02 14:00:00-07:00
